"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Arkansas","Oklahoma","Truck","3590.0445","1122.28466366","4071.2162"
"Arkansas","Oregon","Truck","107.3208","236.14466548","170.5422"
"Arkansas","Pennsylvania","Truck","613.8618","671.10708774","1341.0923"
"Arkansas","Rhode Island","Truck","20.1304","29.51033205","20.9624"
"Arkansas","South Carolina","Truck","650.7704","550.30178565","997.3086"
"Arkansas","South Dakota","Truck","37.2791","32.07441618","46.3473"
"Arkansas","Tennessee","Truck","3381.5572","1114.27512455","4532.9834"
"Arkansas","Texas","Truck","7689.9272","3504.44983006","8328.628"
"Arkansas","Utah","Truck","134.2956","192.64171445","1126.4071"
"Arkansas","Vermont","Truck","1.1033","1.59984133","3.1765"
"Arkansas","Virginia","Truck","344.231","341.34475099","841.7393"
"Arkansas","Washington","Truck","74.0106","165.25522331","185.4306"
"Arkansas","West Virginia","Truck","70.4434","56.65565604","114.7564"
"Arkansas","Wisconsin","Truck","409.6575","325.11588779","647.5295"
"Arkansas","Wyoming","Truck","21.2432","26.4475714","53.2981"
"California","Alabama","Truck","383.355799999999","804.874612869999","2121.7933"
"California","Alaska","Truck","87.0984","289.9431745","345.1775"
"California","Arizona","Truck","10192.9732","4637.18070633","23310.7637"
"California","Arkansas","Truck","308.0243","524.6348031","1424.3079"
"California","California","Truck","995199.7172","94974.3258031401","857286.368300001"
"California","Colorado","Truck","2035.6129","2218.52545951","7147.95100000001"
"California","Connecticut","Truck","264.3038","782.18280681","1080.9366"
"California","Delaware","Truck","74.4437000000001","203.25138985","856.1208"
"California","Washington DC","Truck","16.2632","43.34065831","332.7444"
"California","Florida","Truck","2113.6884","5657.85780916","12260.2805"
"California","Georgia","Truck","1228.358","2834.43295185","5028.0476"
"California","Idaho","Truck","675.8024","559.64045695","1938.9237"
"California","Illinois","Truck","2705.4715","5485.6103444","9843.42549999998"
"California","Indiana","Truck","1063.7925","2276.79289388","5522.63710000001"
"California","Iowa","Truck","547.1978","981.144682539999","2347.2808"
"California","Kansas","Truck","414.474799999999","647.29848524","1938.8541"
"California","Kentucky","Truck","599.380299999999","1299.05111062","9714.49509999999"
"California","Louisiana","Truck","286.1614","540.96816166","1103.769"
"California","Maine","Truck","65.889","211.63318633","506.1036"
"California","Maryland","Truck","614.953299999999","1665.61501225","6125.554"
"California","Massachusetts","Truck","674.8448","2064.60509132","4966.789"
"California","Michigan","Truck","709.577399999999","1627.52489854","3374.19110000001"
"California","Minnesota","Truck","717.2461","1422.97307845","3014.9105"
"California","Mississippi","Truck","131.6046","257.475544","992.0952"
"California","Missouri","Truck","786.187999999999","1434.78789571","3302.05010000001"
"California","Montana","Truck","233.7408","277.4637429","947.508599999999"
"California","Nebraska","Truck","335.4672","517.04899881","1234.1939"
"California","Nevada","Truck","13406.1079","4415.63079616","17505.1962"
"California","New Hampshire","Truck","76.2964","231.61950701","491.8285"
"California","New Jersey","Truck","1353.7067","3785.56087932","11503.0582"
"California","New Mexico","Truck","1007.8313","889.05047051","2308.7076"
"California","New York","Truck","1416.8807","3967.82525442","6395.5657"
"California","North Carolina","Truck","810.950899999998","2055.30947769","3975.9619"
"California","North Dakota","Truck","94.9826","165.44133589","172.1525"
"California","Ohio","Truck","1157.6811","2667.37365487","6067.43680000001"
"California","Oklahoma","Truck","346.6236","512.42894392","1884.3209"
"California","Oregon","Truck","5062.8299","3716.1795402","9725.23020000001"
"California","Pennsylvania","Truck","1531.4498","4074.92757184","12597.7507"
"California","Rhode Island","Truck","19.9986","60.19841574","79.5751"
"California","South Carolina","Truck","276.6043","694.05471499","1325.3896"
"California","South Dakota","Truck","32.8347","52.9072653","174.9034"
"California","Tennessee","Truck","764.012399999999","1619.58631207","7575.43600000001"
"California","Texas","Truck","6048.90130000003","9051.7283551","24462.0951"
"California","Utah","Truck","3514.4534","2444.86438094","7966.86690000002"
"California","Vermont","Truck","41.6626","124.83737795","228.8088"
"California","Virginia","Truck","564.310499999999","1497.79104843","4930.05460000001"
"California","Washington","Truck","4962.1949","5001.82960289","13100.2927"
"California","West Virginia","Truck","81.4776000000001","197.36989264","437.9849"
"California","Wisconsin","Truck","1138.1257","2386.11266866","3533.2104"
"California","Wyoming","Truck","147.525","160.68091784","395.008"
"Colorado","Alabama","Truck","60.0304000000001","81.97965552","296.7167"
"Colorado","Alaska","Truck","5","16.03936701","31.0192"
"Colorado","Arizona","Truck","554.4079","443.41745025","786.0083"
"Colorado","Arkansas","Truck","125.3251","119.58976195","422.5888"
"Colorado","California","Truck","1186.8591","1334.72343482","3008.5753"
"Colorado","Colorado","Truck","152475.0343","12444.1665029","99020.4128"
"Colorado","Connecticut","Truck","27.0374","51.00310868","191.5913"
"Colorado","Delaware","Truck","2.2714","3.95191287","16.492"
"Colorado","Washington DC","Truck","180.5838","307.5114928","53.6304"
"Colorado","Florida","Truck","119.3624","229.01077772","464.403299999999"
"Colorado","Georgia","Truck","373.8452","550.39249283","1123.0075"
"Colorado","Idaho","Truck","289.5234","236.07415005","341.0196"
"Colorado","Illinois","Truck","230.3598","230.28188436","1047.552"
"Colorado","Indiana","Truck","134.7484","150.09965029","399.1167"
"Colorado","Iowa","Truck","174.4491","138.02913584","984.3001"
"Colorado","Kansas","Truck","1185.2352","680.36864515","1093.473"
"Colorado","Kentucky","Truck","124.9981","148.96665498","1218.2738"
"Colorado","Louisiana","Truck","39.4612","49.26128304","82.6020000000001"
"Colorado","Maine","Truck","12.4732","27.08841983","56.7641"
"Colorado","Maryland","Truck","42.0944","71.5724565200001","340.5279"
"Colorado","Massachusetts","Truck","38.1814","76.50978927","305.6463"
"Colorado","Michigan","Truck","313.2044","387.73049837","685.835599999999"
"Colorado","Minnesota","Truck","125.2238","117.54000018","307.4564"
"Colorado","Mississippi","Truck","141.7943","176.58456258","103.8966"
"Colorado","Missouri","Truck","456.3974","335.35773357","614.7528"
"Colorado","Montana","Truck","210.502","163.44369553","691.2623"
"Colorado","Nebraska","Truck","1995.4584","1026.6409267","2090.7049"
"Colorado","Nevada","Truck","191.0529","162.35310822","295.8006"
"Colorado","New Hampshire","Truck","2.8288","5.64228034","21.8075"
"Colorado","New Jersey","Truck","77.6591000000001","139.57767366","912.748199999999"
"Colorado","New Mexico","Truck","2030.8492","923.68310587","2021.599"
"Colorado","New York","Truck","153.5793","270.50884863","607.975499999999"
"Colorado","North Carolina","Truck","123.1214","203.41853091","348.9198"
"Colorado","North Dakota","Truck","59.672","52.93453967","103.8133"
"Colorado","Ohio","Truck","165.8386","216.33876185","602.0712"
"Colorado","Oklahoma","Truck","496.7356","351.04174855","427.1881"
"Colorado","Oregon","Truck","327.952","415.12566744","560.7736"
"Colorado","Pennsylvania","Truck","105.2453","171.21249644","437.0771"
"Colorado","Rhode Island","Truck","1.9386","3.85993805","10.9393"
"Colorado","South Carolina","Truck","30.761","49.98897065","135.2202"
"Colorado","South Dakota","Truck","156.0737","103.07407673","228.439"
"Colorado","Tennessee","Truck","195.5285","226.43462067","330.3081"
"Colorado","Texas","Truck","2069.4554","1820.22963455","2990.5047"
"Colorado","Utah","Truck","1168.1279","602.35319336","2661.3453"
"Colorado","Vermont","Truck","4.6284","8.87715771000001","12.0202"
"Colorado","Virginia","Truck","84.0286000000002","141.54949858","285.4649"
"Colorado","Washington","Truck","424.756","554.727922460001","802.819800000001"
"Colorado","West Virginia","Truck","7.8196","11.3283314","113.1012"
"Colorado","Wisconsin","Truck","110.0633","116.42812066","269.3381"
"Colorado","Wyoming","Truck","1692.1915","603.15873023","2395.6714"
"Connecticut","Alabama","Truck","51.5214","56.07577655","185.7395"
"Connecticut","Alaska","Truck","0.0695","0.31184493","0.0023"
"Connecticut","Arizona","Truck","38.2251","98.84746955","260.9751"
"Connecticut","Arkansas","Truck","28.0944","38.84983185","342.1466"
"Connecticut","California","Truck","522.0864","1511.48911714","2068.9961"
"Connecticut","Colorado","Truck","12.257","23.70068691","113.1597"
"Connecticut","Connecticut","Truck","79115.075","2374.4335059","63621.7176"
"Connecticut","Delaware","Truck","91.5359","20.06336757","102.8653"
"Connecticut","Washington DC","Truck","4.6142","1.60514224","34.7372"
"Connecticut","Florida","Truck","229.999","296.53356437","760.5086"
"Connecticut","Georgia","Truck","208.5921","205.39187272","641.187799999999"
"Connecticut","Idaho","Truck","5.0532","12.84687558","40.9385"
"Connecticut","Illinois","Truck","716.817","681.56494801","2306.494"
"Connecticut","Indiana","Truck","273.3749","224.15707934","806.052799999999"
"Connecticut","Iowa","Truck","154.2092","180.77009117","611.3334"
"Connecticut","Kansas","Truck","52.982","76.6241668800001","93.9922"
"Connecticut","Kentucky","Truck","147.9833","125.69533397","673.837099999999"
"Connecticut","Louisiana","Truck","22.3437","33.55240882","112.1697"
"Connecticut","Maine","Truck","448.16","127.42502336","1462.9585"
"Connecticut","Maryland","Truck","344.5476","103.10398245","1007.5902"
"Connecticut","Massachusetts","Truck","5477.04209999999","588.25669712","11353.0815"
"Connecticut","Michigan","Truck","142.3092","111.46951158","384.538799999999"
"Connecticut","Minnesota","Truck","116.4117","155.34027164","363.3195"
"Connecticut","Mississippi","Truck","16.3254","20.94601105","127.3241"
"Connecticut","Missouri","Truck","56.3829","66.37390364","292.5896"
"Connecticut","Montana","Truck","5.375","12.39244238","568.7932"
"Connecticut","Nebraska","Truck","10.4652","14.67144007","93.7387"
"Connecticut","Nevada","Truck","6.69","17.96058747","23.268"
"Connecticut","New Hampshire","Truck","1090.584","184.47428564","2726.9334"
"Connecticut","New Jersey","Truck","1983.0187","258.51645021","3962.368"
"Connecticut","New Mexico","Truck","7.3168","15.59357975","98.7337"
"Connecticut","New York","Truck","6394.02350000001","772.089796839999","15190.0226"
"Connecticut","North Carolina","Truck","815.145599999999","564.23711752","2319.8835"
