"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alaska","Nevada","Machinery","Truck","0.003","0.01002348","0.0241","0.0241"
"Alaska","New Hampshire","Wood prods.","Truck","0.0001","0.00051149","0.0001","0.0001"
"Alaska","New Hampshire","Nonmetal min. prods.","Truck","0.0007","0.00332531","0","0"
"Alaska","New Hampshire","Machinery","Truck","0.0001","0.00051149","0.0012","0.0012"
"Alaska","New Jersey","Wood prods.","Truck","0.0008","0.0034283","0.0004","0.0004"
"Alaska","New Jersey","Nonmetal min. prods.","Truck","0.0022","0.00987949","0.0003","0.0003"
"Alaska","New Jersey","Machinery","Truck","0.0012","0.00538835","0.0098","0.0098"
"Alaska","New Mexico","Wood prods.","Truck","0.0003","0.00121355","0.0002","0.0002"
"Alaska","New Mexico","Nonmetal min. prods.","Truck","0.0015","0.0052587","0.0002","0.0002"
"Alaska","New Mexico","Machinery","Truck","0.0008","0.00283161","0.0061","0.0061"
"Alaska","New York","Wood prods.","Truck","0.2856","1.25050164","5.6199","5.6349"
"Alaska","New York","Nonmetal min. prods.","Truck","0.005","0.02188601","0.0006","0.0006"
"Alaska","New York","Machinery","Truck","0.0023","0.01022536","0.0192","0.0192"
"Alaska","North Carolina","Wood prods.","Truck","0.0007","0.00342795","0.0004","0.0004"
"Alaska","North Carolina","Nonmetal min. prods.","Truck","0.003","0.0127225","0.0004","0.0004"
"Alaska","North Carolina","Machinery","Truck","0.0015","0.00685537","0.012","0.012"
"Alaska","North Dakota","Wood prods.","Truck","0.0004","0.00126676","0.0002","0.0002"
"Alaska","North Dakota","Nonmetal min. prods.","Truck","0.0015","0.00411699","0.0002","0.0002"
"Alaska","North Dakota","Machinery","Truck","0.0007","0.00190015","0.0059","0.0059"
"Alaska","Ohio","Wood prods.","Truck","0.0015","0.00657904","0.0007","0.0007"
"Alaska","Ohio","Nonmetal min. prods.","Truck","0.0043","0.01710274","0.0007","0.0007"
"Alaska","Ohio","Machinery","Truck","0.0023","0.0092066","0.0192","0.0192"
"Alaska","Oklahoma","Wood prods.","Truck","0.0005","0.00215939","0.0003","0.0003"
"Alaska","Oklahoma","Nonmetal min. prods.","Truck","0.0016","0.0060421","0.0003","0.0003"
"Alaska","Oklahoma","Machinery","Truck","0.0008","0.00345362","0.0066","0.0066"
"Alaska","Oregon","Wood prods.","Truck","0.0055","0.01392642","0.0029","0.0029"
"Alaska","Oregon","Nonmetal min. prods.","Truck","0.0226","0.05716401","0.0037","0.0037"
"Alaska","Oregon","Machinery","Truck","0.0107","0.02702653","0.0856","0.0858"
"Alaska","Pennsylvania","Wood prods.","Truck","0.0013","0.00567276","0.0007","0.0007"
"Alaska","Pennsylvania","Nonmetal min. prods.","Truck","0.0036","0.01509998","0.0006","0.0006"
"Alaska","Pennsylvania","Machinery","Truck","0.0021","0.00849955","0.0164","0.0164"
"Alaska","Rhode Island","Wood prods.","Truck","0.0004","0.00161404","0","0"
"Alaska","Rhode Island","Nonmetal min. prods.","Truck","0.0005","0.00221417","0","0"
"Alaska","Rhode Island","Machinery","Truck","0.0001","0.00051088","0.001","0.001"
"Alaska","South Carolina","Wood prods.","Truck","0.0003","0.0014743","0.0002","0.0002"
"Alaska","South Carolina","Nonmetal min. prods.","Truck","0.0015","0.0066038","0.0002","0.0002"
"Alaska","South Carolina","Machinery","Truck","0.0006","0.00295558","0.0053","0.0053"
"Alaska","South Dakota","Wood prods.","Truck","0.0003","0.0010421","0.0002","0.0002"
"Alaska","South Dakota","Nonmetal min. prods.","Truck","0.0011","0.00347367","0.0002","0.0002"
"Alaska","South Dakota","Machinery","Truck","0.0006","0.00173684","0.0045","0.0045"
"Alaska","Tennessee","Wood prods.","Truck","0.0006","0.0027368","0.0004","0.0004"
"Alaska","Tennessee","Nonmetal min. prods.","Truck","0.002","0.00821038","0.0003","0.0003"
"Alaska","Tennessee","Machinery","Truck","0.0011","0.00456041","0.0091","0.0092"
"Alaska","Texas","Wood prods.","Truck","0.0028","0.01153464","0.0013","0.0013"
"Alaska","Texas","Nonmetal min. prods.","Truck","0.0098","0.04058914","0.0013","0.0013"
"Alaska","Texas","Machinery","Truck","0.0046","0.01941606","0.039","0.039"
"Alaska","Utah","Wood prods.","Truck","0.0015","0.00473206","0.0008","0.0008"
"Alaska","Utah","Nonmetal min. prods.","Truck","0.0063","0.0189282","0.001","0.001"
"Alaska","Utah","Machinery","Truck","0.0031","0.0094641","0.0248","0.0249"
"Alaska","Vermont","Wood prods.","Truck","0","0","0","0"
"Alaska","Vermont","Nonmetal min. prods.","Truck","0.0002","0.0010921","0","0"
"Alaska","Vermont","Machinery","Truck","0.0001","0.00050396","0.0007","0.0007"
"Alaska","Virginia","Wood prods.","Truck","0.0007","0.00339388","0.0004","0.0004"
"Alaska","Virginia","Nonmetal min. prods.","Truck","0.0025","0.01117412","0.0004","0.0004"
"Alaska","Virginia","Machinery","Truck","0.0013","0.00582728","0.0111","0.0111"
"Alaska","Washington","Wood prods.","Truck","0.0163","0.03765893","0.0088","0.0089"
"Alaska","Washington","Nonmetal min. prods.","Truck","139.7178","325.47446231","7.9674","7.9083"
"Alaska","Washington","Machinery","Truck","0.0359","0.08315097","0.2875","0.2883"
"Alaska","West Virginia","Wood prods.","Truck","0.0002","0.00092077","0.0001","0.0001"
"Alaska","West Virginia","Nonmetal min. prods.","Truck","0.0004","0.00184154","0.0001","0.0001"
"Alaska","West Virginia","Machinery","Truck","0.0002","0.00092077","0.0021","0.0022"
"Alaska","Wisconsin","Wood prods.","Truck","0.0014","0.00501289","0.0008","0.0008"
"Alaska","Wisconsin","Nonmetal min. prods.","Truck","0.0042","0.01464605","0.0007","0.0007"
"Alaska","Wisconsin","Machinery","Truck","0.0023","0.00771059","0.018","0.018"
"Alaska","Wyoming","Wood prods.","Truck","0.0003","0.00096273","0.0002","0.0002"
"Alaska","Wyoming","Nonmetal min. prods.","Truck","0.0016","0.00449271","0.0002","0.0002"
"Alaska","Wyoming","Machinery","Truck","0.0008","0.00224636","0.0061","0.0061"
"Arizona","Alabama","Wood prods.","Truck","0.0054","0.00904715","0.0028","0.0028"
"Arizona","Alabama","Nonmetal min. prods.","Truck","0.0204","0.03379384","0.0033","0.0033"
"Arizona","Alabama","Machinery","Truck","0.9491","1.54269345","8.0121","8.0377"
"Arizona","Alaska","Wood prods.","Truck","0","0","0","0"
"Arizona","Alaska","Nonmetal min. prods.","Truck","0.0002","0.00088023","0","0"
