"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"California","Kentucky","Truck","639.8967","1388.34184561","10658.8872","10689.8651"
"California","Louisiana","Truck","324.326699999999","613.00482993","1240.1449","1243.2006"
"California","Maine","Truck","74.0139","237.848179","548.1355","550.6366"
"California","Maryland","Truck","658.061799999999","1781.80706818","6573.56980000001","6588.60950000001"
"California","Massachusetts","Truck","753.580199999999","2307.05166164","5494.8155","5518.9489"
"California","Michigan","Truck","728.766999999999","1672.34605963","3460.25350000001","3469.86910000001"
"California","Minnesota","Truck","789.8326","1567.70853039","3266.7724","3273.6755"
"California","Mississippi","Truck","136.6987","268.34465122","1039.3843","1043.0583"
"California","Missouri","Truck","851.724399999999","1557.96961242","3490.14800000001","3499.94840000001"
"California","Montana","Truck","253.6537","301.00765383","1020.9206","1025.1832"
"California","Nebraska","Truck","372.8622","575.15393609","1369.0022","1377.7398"
"California","Nevada","Truck","14621.065","4818.86894392","18667.9217","18732.2311"
"California","New Hampshire","Truck","83.4211","253.53146163","527.4339","528.9899"
"California","New Jersey","Truck","1459.7647","4082.58667873","13038.6025","13075.0156"
"California","New Mexico","Truck","1083.4672","955.89245377","2453.1062","2458.6284"
"California","New York","Truck","1563.3918","4378.60766844","6954.78440000001","6994.41550000001"
"California","North Carolina","Truck","829.827099999999","2106.65067153","4124.0974","4145.39960000001"
"California","North Dakota","Truck","95.272","166.06164653","187.0487","187.4346"
"California","Ohio","Truck","1252.3997","2885.02713129","6346.05860000001","6373.29930000002"
"California","Oklahoma","Truck","380.996","563.45572221","2076.962","2082.9452"
"California","Oregon","Truck","5378.67970000001","3959.67826145","10297.7256","10322.7955"
"California","Pennsylvania","Truck","1661.156","4420.55459148","14076.5616","14130.8943"
"California","Rhode Island","Truck","21.3509","64.33638642","84.4312","84.7883"
"California","South Carolina","Truck","288.7976","724.92657669","1359.6153","1365.958"
"California","South Dakota","Truck","35.6709","57.48390301","191.9572","192.9837"
"California","Tennessee","Truck","834.7755","1773.44832701","8662.8142","8704.287"
"California","Texas","Truck","6654.41680000003","9977.05594791999","26903.8008","27023.805"
"California","Utah","Truck","3775.1649","2628.58726912","8428.95810000001","8467.65510000001"
"California","Vermont","Truck","47.7982","143.35878899","246.8324","247.846"
"California","Virginia","Truck","605.890499999999","1609.03686532","5229.39230000001","5242.07920000001"
"California","Washington","Truck","5353.4884","5387.11975066","13831.4551","13877.4908"
"California","West Virginia","Truck","92.1951","223.28181037","499.4234","504.8469"
