"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Colorado","Florida","Other ag prods.","Truck","41.1865","77.18214936","13.948","13.905"
"Colorado","Georgia","Other ag prods.","Truck","103.1957","151.87798926","31.1363","31.0402"
"Colorado","Idaho","Other ag prods.","Truck","3.3696","2.74900281","2.2622","2.2553"
"Colorado","Illinois","Other ag prods.","Truck","17.436","17.72494774","13.0605","13.0202"
"Colorado","Indiana","Other ag prods.","Truck","3.2464","3.80589528","3.4037","3.3932"
"Colorado","Iowa","Other ag prods.","Truck","0.8738","0.71906765","0.0316","0.0315"
"Colorado","Kansas","Other ag prods.","Truck","14.5773","8.03649616","8.511","8.4847"
"Colorado","Kentucky","Other ag prods.","Truck","5.5194","6.64485969","2.6768","2.6686"
"Colorado","Louisiana","Other ag prods.","Truck","17.5147","21.0922327","4.0482","4.0356"
"Colorado","Maine","Other ag prods.","Truck","1.0897","2.3864146","1.2141","1.2103"
"Colorado","Maryland","Other ag prods.","Truck","2.2466","3.87531247","2.2858","2.2787"
"Colorado","Massachusetts","Other ag prods.","Truck","0.0008","0.00163104","0.0004","0.0004"
"Colorado","Michigan","Other ag prods.","Truck","0.0061","0.00807918","0.0032","0.0032"
"Colorado","Minnesota","Other ag prods.","Truck","2.237","2.23530184","3.2035","3.1936"
"Colorado","Mississippi","Other ag prods.","Truck","44.1359","54.981963","16.6943","16.6429"
"Colorado","Missouri","Other ag prods.","Truck","7.1637","5.53374084","1.9933","1.9872"
"Colorado","Montana","Other ag prods.","Truck","0.0055","0.0043399","0.0028","0.0028"
"Colorado","Nebraska","Other ag prods.","Truck","51.0235","26.27248186","31.7233","31.6254"
"Colorado","Nevada","Other ag prods.","Truck","3.3825","3.36264323","2.2568","2.2499"
"Colorado","New Hampshire","Other ag prods.","Truck","0.0001","0.00019624","0.0001","0.0001"
"Colorado","New Jersey","Other ag prods.","Truck","0.1177","0.21435454","0.0711","0.0709"
"Colorado","New Mexico","Other ag prods.","Truck","29.6742","13.213058","19.314","19.2544"
"Colorado","New York","Other ag prods.","Truck","1.8925","3.44294335","1.9385","1.9325"
"Colorado","North Carolina","Other ag prods.","Truck","26.9989","46.1358417","7.5951","7.5717"
"Colorado","North Dakota","Other ag prods.","Truck","0.2577","0.23756195","0.0712","0.071"
"Colorado","Ohio","Other ag prods.","Truck","1.1568","1.57567703","1.123","1.1195"
"Colorado","Oklahoma","Other ag prods.","Truck","56.8432","41.43605239","19.4057","19.3458"
"Colorado","Oregon","Other ag prods.","Truck","1.1283","1.42237581","0.2396","0.2388"
"Colorado","Pennsylvania","Other ag prods.","Truck","11.8209","19.56464646","3.4616","3.4509"
"Colorado","Rhode Island","Other ag prods.","Truck","0.0001","0.00018505","0.0001","0.0001"
"Colorado","South Carolina","Other ag prods.","Truck","5.7765","9.11241923","2.1748","2.1681"
"Colorado","South Dakota","Other ag prods.","Truck","0.014","0.00964852","0.0072","0.0072"
"Colorado","Tennessee","Other ag prods.","Truck","30.9237","38.62114116","13.4274","13.3859"
"Colorado","Texas","Other ag prods.","Truck","397.9473","340.85993802","142.7527","142.3124"
"Colorado","Utah","Other ag prods.","Truck","76.7898","40.83765325","60.3668","60.1806"
"Colorado","Vermont","Other ag prods.","Truck","0.0001","0.00019892","0","0"
"Colorado","Virginia","Other ag prods.","Truck","22.656","38.85094506","7.3753","7.3525"
"Colorado","Washington","Other ag prods.","Truck","0.3979","0.48083836","0.0463","0.0461"
"Colorado","West Virginia","Other ag prods.","Truck","0.0006","0.00083281","0.0003","0.0003"
"Colorado","Wisconsin","Other ag prods.","Truck","8.8218","9.73360483","4.4253","4.4116"
"Colorado","Wyoming","Other ag prods.","Truck","19.0178","6.6316743","27.156","27.0722"
"Connecticut","Alabama","Other ag prods.","Truck","0.0669","0.074528","2.175","2.1683"
"Connecticut","Arizona","Other ag prods.","Truck","0","0","0","0"
"Connecticut","Arkansas","Other ag prods.","Truck","0","0","0","0"
"Connecticut","California","Other ag prods.","Truck","0","0","0","0"
"Connecticut","Colorado","Other ag prods.","Truck","0","0","0","0"
"Connecticut","Connecticut","Other ag prods.","Truck","730.6764","20.67597583","460.2735","458.8535"
"Connecticut","Delaware","Other ag prods.","Truck","0.0149","0.00339478","0.0079","0.0079"
"Connecticut","Washington DC","Other ag prods.","Truck","0.0048","0.00151304","0.0025","0.0025"
"Connecticut","Florida","Other ag prods.","Truck","2.0069","2.39620945","8.7541","8.7271"
"Connecticut","Georgia","Other ag prods.","Truck","0.0004","0.00033834","0.0001","0.0001"
"Connecticut","Illinois","Other ag prods.","Truck","0.0007","0.00060602","0.0004","0.0004"
"Connecticut","Indiana","Other ag prods.","Truck","1.1082","0.92948211","1.1353","1.1318"
