"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alaska","Florida","Nonmetal min. prods.","Truck","0.0034","0.01611513","0.0005"
"Alaska","Florida","Machinery","Truck","0.0019","0.00901387","0.0146"
"Alaska","Georgia","Wood prods.","Truck","0.0007","0.0030015","0.0004"
"Alaska","Georgia","Nonmetal min. prods.","Truck","0.0024","0.01030807","0.0004"
"Alaska","Georgia","Machinery","Truck","0.0012","0.00514088","0.0105"
"Alaska","Idaho","Wood prods.","Truck","0.0014","0.00381893","0.0008"
"Alaska","Idaho","Nonmetal min. prods.","Truck","0.007","0.01909466","0.0011"
"Alaska","Idaho","Machinery","Truck","0.0033","0.00900177","0.0267"
"Alaska","Illinois","Wood prods.","Truck","0.0024","0.00861616","0.0013"
"Alaska","Illinois","Nonmetal min. prods.","Truck","0.0066","0.02368051","0.001"
"Alaska","Illinois","Machinery","Truck","0.0034","0.01219715","0.0279"
"Alaska","Indiana","Wood prods.","Truck","0.0009","0.00337192","0.0006"
"Alaska","Indiana","Nonmetal min. prods.","Truck","0.003","0.01121436","0.0005"
"Alaska","Indiana","Machinery","Truck","0.0016","0.00599086","0.0125"
"Alaska","Iowa","Wood prods.","Truck","0.0007","0.00238084","0.0004"
"Alaska","Iowa","Nonmetal min. prods.","Truck","0.0021","0.00714253","0.0003"
"Alaska","Iowa","Machinery","Truck","0.0011","0.00374133","0.0087"
"Alaska","Kansas","Wood prods.","Truck","0.0005","0.00179409","0.0003"
"Alaska","Kansas","Nonmetal min. prods.","Truck","0.0016","0.00574463","0.0003"
"Alaska","Kansas","Machinery","Truck","0.0008","0.00287232","0.0068"
"Alaska","Kentucky","Wood prods.","Truck","0.0005","0.00196108","0.0003"
"Alaska","Kentucky","Nonmetal min. prods.","Truck","0.0014","0.00549488","0.0002"
"Alaska","Kentucky","Machinery","Truck","0.0008","0.00313901","0.0061"
"Alaska","Louisiana","Wood prods.","Truck","0.0004","0.00173159","0.0001"
"Alaska","Louisiana","Nonmetal min. prods.","Truck","0.0014","0.00605961","0.0002"
"Alaska","Louisiana","Machinery","Truck","0.0007","0.00303073","0.0055"
"Alaska","Maine","Wood prods.","Truck","0.0001","0.00046852","0"
"Alaska","Maine","Nonmetal min. prods.","Truck","0.0002","0.00093705","0"
"Alaska","Maine","Machinery","Truck","0.0001","0.00046852","0.0009"
"Alaska","Maryland","Wood prods.","Truck","0.0006","0.00256801","0.0002"
"Alaska","Maryland","Nonmetal min. prods.","Truck","0.002","0.00855583","0.0002"
"Alaska","Maryland","Machinery","Truck","0.0011","0.00470558","0.008"
"Alaska","Massachusetts","Wood prods.","Truck","0.0005","0.00227784","0.0002"
"Alaska","Massachusetts","Nonmetal min. prods.","Truck","0.0013","0.00592612","0.0002"
"Alaska","Massachusetts","Machinery","Truck","0.0007","0.00319147","0.0056"
"Alaska","Michigan","Wood prods.","Truck","0.0013","0.00493736","0.0006"
"Alaska","Michigan","Nonmetal min. prods.","Truck","0.0031","0.01175267","0.0005"
"Alaska","Michigan","Machinery","Truck","0.0017","0.00644297","0.0137"
"Alaska","Minnesota","Wood prods.","Truck","0.002","0.00631294","0.0011"
"Alaska","Minnesota","Nonmetal min. prods.","Truck","0.0057","0.01799417","0.001"
"Alaska","Minnesota","Machinery","Truck","0.0029","0.00915522","0.0235"
"Alaska","Mississippi","Wood prods.","Truck","0.0002","0.00083656","0.0001"
"Alaska","Mississippi","Nonmetal min. prods.","Truck","0.0007","0.00292795","0.0001"
"Alaska","Mississippi","Machinery","Truck","0.0004","0.00167311","0.0028"
"Alaska","Missouri","Wood prods.","Truck","0.0009","0.0033234","0.0005"
"Alaska","Missouri","Nonmetal min. prods.","Truck","0.0031","0.01142395","0.0005"
"Alaska","Missouri","Machinery","Truck","0.0016","0.00590034","0.0129"
"Alaska","Montana","Wood prods.","Truck","0.0011","0.00272355","0.0006"
"Alaska","Montana","Nonmetal min. prods.","Truck","0.0049","0.01213219","0.0008"
"Alaska","Montana","Machinery","Truck","0.0023","0.0056947","0.0187"
"Alaska","Nebraska","Wood prods.","Truck","0.0005","0.0016755","0.0003"
"Alaska","Nebraska","Nonmetal min. prods.","Truck","0.0014","0.0046914","0.0002"
"Alaska","Nebraska","Machinery","Truck","0.0007","0.0023457","0.0059"
"Alaska","Nevada","Wood prods.","Truck","0.0011","0.00362478","0.0006"
"Alaska","Nevada","Nonmetal min. prods.","Truck","0.0054","0.01786955","0.0009"
"Alaska","Nevada","Machinery","Truck","0.0027","0.0089205","0.0213"
"Alaska","New Hampshire","Wood prods.","Truck","0.0001","0.00045521","0.0001"
"Alaska","New Hampshire","Nonmetal min. prods.","Truck","0.0003","0.00136563","0"
"Alaska","New Hampshire","Machinery","Truck","0.0001","0.00045521","0.0011"
"Alaska","New Jersey","Wood prods.","Truck","0.0007","0.00305105","0.0004"
"Alaska","New Jersey","Nonmetal min. prods.","Truck","0.0019","0.00828239","0.0003"
"Alaska","New Jersey","Machinery","Truck","0.0011","0.00479541","0.0086"
"Alaska","New Mexico","Wood prods.","Truck","0.0003","0.00108001","0.0002"
"Alaska","New Mexico","Nonmetal min. prods.","Truck","0.0013","0.00468003","0.0002"
"Alaska","New Mexico","Machinery","Truck","0.0007","0.00252002","0.0054"
"Alaska","New York","Wood prods.","Truck","0.2541","1.11238412","4.9775"
"Alaska","New York","Nonmetal min. prods.","Truck","0.0037","0.01603829","0.0005"
"Alaska","New York","Machinery","Truck","0.0021","0.00910016","0.017"
"Alaska","North Carolina","Wood prods.","Truck","0.0007","0.00305073","0.0004"
"Alaska","North Carolina","Nonmetal min. prods.","Truck","0.0026","0.01132251","0.0004"
"Alaska","North Carolina","Machinery","Truck","0.0014","0.006101","0.0105"
"Alaska","North Dakota","Wood prods.","Truck","0.0004","0.00112737","0.0002"
"Alaska","North Dakota","Nonmetal min. prods.","Truck","0.0013","0.00366396","0.0002"
"Alaska","North Dakota","Machinery","Truck","0.0006","0.00169106","0.0052"
"Alaska","Ohio","Wood prods.","Truck","0.0015","0.00585508","0.0007"
"Alaska","Ohio","Nonmetal min. prods.","Truck","0.0039","0.01522076","0.0007"
"Alaska","Ohio","Machinery","Truck","0.0021","0.00819351","0.0169"
"Alaska","Oklahoma","Wood prods.","Truck","0.0005","0.00192177","0.0003"
"Alaska","Oklahoma","Nonmetal min. prods.","Truck","0.0014","0.00537723","0.0003"
"Alaska","Oklahoma","Machinery","Truck","0.0008","0.00307358","0.0058"
"Alaska","Oregon","Wood prods.","Truck","0.0049","0.01239396","0.0026"
"Alaska","Oregon","Nonmetal min. prods.","Truck","0.0201","0.05087368","0.0032"
"Alaska","Oregon","Machinery","Truck","0.0095","0.02405253","0.0758"
"Alaska","Pennsylvania","Wood prods.","Truck","0.0012","0.00504854","0.0007"
"Alaska","Pennsylvania","Nonmetal min. prods.","Truck","0.0032","0.01343839","0.0006"
"Alaska","Pennsylvania","Machinery","Truck","0.0018","0.00756426","0.0145"
"Alaska","Rhode Island","Wood prods.","Truck","0.0001","0.00045466","0"
"Alaska","Rhode Island","Nonmetal min. prods.","Truck","0.0002","0.00090931","0"
"Alaska","Rhode Island","Machinery","Truck","0.0001","0.00045466","0.0009"
"Alaska","South Carolina","Wood prods.","Truck","0.0003","0.00131207","0.0002"
"Alaska","South Carolina","Nonmetal min. prods.","Truck","0.0011","0.00483187","0.0002"
"Alaska","South Carolina","Machinery","Truck","0.0006","0.00263035","0.0047"
"Alaska","South Dakota","Wood prods.","Truck","0.0003","0.00092743","0.0002"
"Alaska","South Dakota","Nonmetal min. prods.","Truck","0.001","0.00309143","0.0002"
"Alaska","South Dakota","Machinery","Truck","0.0005","0.00154572","0.004"
"Alaska","Tennessee","Wood prods.","Truck","0.0006","0.00243564","0.0004"
"Alaska","Tennessee","Nonmetal min. prods.","Truck","0.0018","0.00730691","0.0003"
"Alaska","Tennessee","Machinery","Truck","0.001","0.00405859","0.0081"
"Alaska","Texas","Wood prods.","Truck","0.0024","0.00981556","0.0012"
"Alaska","Texas","Nonmetal min. prods.","Truck","0.0082","0.03372085","0.0012"
"Alaska","Texas","Machinery","Truck","0.0042","0.01727952","0.0345"
"Alaska","Utah","Wood prods.","Truck","0.0014","0.00421134","0.0007"
"Alaska","Utah","Nonmetal min. prods.","Truck","0.0056","0.01684534","0.0009"
"Alaska","Utah","Machinery","Truck","0.0028","0.00842267","0.022"
"Alaska","Vermont","Wood prods.","Truck","0","0","0"
"Alaska","Vermont","Nonmetal min. prods.","Truck","0.0001","0.0004485","0"
"Alaska","Vermont","Machinery","Truck","0.0001","0.0004485","0.0006"
"Alaska","Virginia","Wood prods.","Truck","0.0007","0.00302042","0.0004"
"Alaska","Virginia","Nonmetal min. prods.","Truck","0.0023","0.00994452","0.0004"
"Alaska","Virginia","Machinery","Truck","0.0012","0.00518604","0.0099"
"Alaska","Washington","Wood prods.","Truck","0.0145","0.03351494","0.0078"
"Alaska","Washington","Nonmetal min. prods.","Truck","124.3433","289.65926786","6.9857"
"Alaska","Washington","Machinery","Truck","0.032","0.07400104","0.2547"
"Alaska","West Virginia","Wood prods.","Truck","0.0002","0.00081945","0.0001"
"Alaska","West Virginia","Nonmetal min. prods.","Truck","0.0004","0.0016389","0.0001"
"Alaska","West Virginia","Machinery","Truck","0.0002","0.00081945","0.0019"
"Alaska","Wisconsin","Wood prods.","Truck","0.0013","0.00446127","0.0007"
"Alaska","Wisconsin","Nonmetal min. prods.","Truck","0.0038","0.0130344","0.0006"
"Alaska","Wisconsin","Machinery","Truck","0.002","0.00686211","0.0159"
"Alaska","Wyoming","Wood prods.","Truck","0.0003","0.00085679","0.0002"
"Alaska","Wyoming","Nonmetal min. prods.","Truck","0.0014","0.00399833","0.0002"
"Alaska","Wyoming","Machinery","Truck","0.0007","0.00199917","0.0054"
"Arizona","Alabama","Wood prods.","Truck","0.0056","0.00926108","0.0028"
"Arizona","Alabama","Nonmetal min. prods.","Truck","0.0182","0.03007516","0.003"
"Arizona","Alabama","Machinery","Truck","0.8448","1.37294134","7.1"
"Arizona","Alaska","Wood prods.","Truck","0","0","0"
"Arizona","Alaska","Nonmetal min. prods.","Truck","0.0001","0.00036149","0"
"Arizona","Alaska","Machinery","Truck","0","0","0.0004"
"Arizona","Arizona","Wood prods.","Truck","3775.7896","295.33270775","2669.4964"
"Arizona","Arizona","Nonmetal min. prods.","Truck","41673.6773","3235.78195719","4769.5934"
"Arizona","Arizona","Machinery","Truck","3049.3106","195.75295377","24243.963"
"Arizona","Arkansas","Wood prods.","Truck","0.0102","0.0132997","0.0054"
"Arizona","Arkansas","Nonmetal min. prods.","Truck","0.029","0.03780478","0.0047"
"Arizona","Arkansas","Machinery","Truck","0.5265","0.68802502","1.692"
"Arizona","California","Wood prods.","Truck","93.6705","43.01815538","245.4826"
"Arizona","California","Nonmetal min. prods.","Truck","269.2652","145.74852719","130.3063"
"Arizona","California","Machinery","Truck","58.6829","26.05527746","671.6498"
"Arizona","Colorado","Wood prods.","Truck","2.7047","2.20210076","6.7774"
"Arizona","Colorado","Nonmetal min. prods.","Truck","84.1287","66.84937648","33.6117"
"Arizona","Colorado","Machinery","Truck","6.0529","4.94520123","52.2239"
"Arizona","Connecticut","Wood prods.","Truck","0.0007","0.00178505","0.0003"
"Arizona","Connecticut","Nonmetal min. prods.","Truck","0.0021","0.00535048","0.0002"
"Arizona","Connecticut","Machinery","Truck","0.0283","0.0720718","2.0646"
"Arizona","Delaware","Wood prods.","Truck","0.0002","0.00047312","0.0001"
"Arizona","Delaware","Nonmetal min. prods.","Truck","0.4864","1.16095184","2.7956"
"Arizona","Delaware","Machinery","Truck","0.0004","0.00094837","0.0034"
"Arizona","Washington DC","Wood prods.","Truck","0.0003","0.00069775","0.0001"
"Arizona","Washington DC","Nonmetal min. prods.","Truck","0.0006","0.00139217","0.0001"
"Arizona","Washington DC","Machinery","Truck","0.0002","0.00046517","0.0016"
"Arizona","Florida","Wood prods.","Truck","0.0203","0.04304592","0.4545"
"Arizona","Florida","Nonmetal min. prods.","Truck","0.3244","0.71025292","1.9003"
"Arizona","Florida","Machinery","Truck","2.4639","5.34076799","47.04"
"Arizona","Georgia","Wood prods.","Truck","0.0075","0.01388071","0.004"
"Arizona","Georgia","Nonmetal min. prods.","Truck","0.2661","0.49392058","0.7032"
"Arizona","Georgia","Machinery","Truck","3.9485","7.27527363","41.1103"
"Arizona","Idaho","Wood prods.","Truck","0.045","0.04736678","0.7836"
"Arizona","Idaho","Nonmetal min. prods.","Truck","5.1726","5.07693895","2.6014"
"Arizona","Idaho","Machinery","Truck","0.0401","0.03883651","0.3197"
"Arizona","Illinois","Wood prods.","Truck","0.1123","0.1938572","0.0095"
"Arizona","Illinois","Nonmetal min. prods.","Truck","0.759","1.35261133","4.4428"
"Arizona","Illinois","Machinery","Truck","4.8477","8.43269738","24.5509"
"Arizona","Indiana","Wood prods.","Truck","0.0069","0.0121159","0.0035"
"Arizona","Indiana","Nonmetal min. prods.","Truck","0.0216","0.03798801","0.0157"
"Arizona","Indiana","Machinery","Truck","3.1055","5.29441491","49.2938"
"Arizona","Iowa","Wood prods.","Truck","0.0056","0.00883591","0.003"
"Arizona","Iowa","Nonmetal min. prods.","Truck","0.0818","0.13071201","0.3197"
"Arizona","Iowa","Machinery","Truck","0.6414","1.00894325","2.1433"
