"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Colorado","Maine","Truck","13.1188","28.17736301","29.0063"
"Colorado","Maryland","Truck","50.3657","85.54547858","382.4301"
"Colorado","Massachusetts","Truck","54.3293","108.62692330","259.4355"
"Colorado","Michigan","Truck","57.2095","72.47187437","454.5876"
"Colorado","Minnesota","Truck","147.8525","140.62581846","604.0404"
"Colorado","Mississippi","Truck","14.5115","18.09498642","70.7051"
"Colorado","Missouri","Truck","1185.3497","907.41095643","769.2311"
"Colorado","Montana","Truck","1381.8763","1102.59918023","737.2683"
"Colorado","Nebraska","Truck","1455.1573","797.86706374","1500.5796"
"Colorado","Nevada","Truck","135.2589","107.48074312","466.9106"
"Colorado","New Hampshire","Truck","6.9159","13.99369064","20.9705"
"Colorado","New Jersey","Truck","124.9523","223.14847434","363.1189"
"Colorado","New Mexico","Truck","1745.4801","790.66718984","1889.6245"
"Colorado","New York","Truck","83.7728","149.72401394","427.6380"
"Colorado","North Carolina","Truck","122.0348","206.24338300","440.9466"
"Colorado","North Dakota","Truck","23.3721","20.74976705","56.3706"
"Colorado","Ohio","Truck","599.2758","815.24456983","535.6495"
"Colorado","Oklahoma","Truck","768.2630","556.19645035","504.7539"
"Colorado","Oregon","Truck","488.9530","621.69474186","647.3718"
"Colorado","Pennsylvania","Truck","91.5468","150.08388680","510.3440"
"Colorado","Rhode Island","Truck","6.6974","13.35368703","6.0665"
"Colorado","South Carolina","Truck","27.4754","45.21737907","287.5058"
"Colorado","South Dakota","Truck","747.3909","482.97211763","561.2305"
"Colorado","Tennessee","Truck","293.4919","381.30186880","323.2262"
"Colorado","Texas","Truck","2202.2641","1977.26925593","3051.9614"
"Colorado","Utah","Truck","1168.6350","589.04216946","3367.7561"
"Colorado","Vermont","Truck","3.7138","7.20357331","51.3490"
"Colorado","Virginia","Truck","71.4586","116.95079001","340.8337"
"Colorado","Washington","Truck","189.3481","246.83155363","560.7469"
"Colorado","West Virginia","Truck","19.9503","28.95326567","40.5916"
"Colorado","Wisconsin","Truck","81.8327","88.65152359","523.1485"
"Colorado","Wyoming","Truck","8501.3684","3258.95095267","2497.3005"
"Connecticut","Alabama","Truck","38.7967","43.74416346","133.0923"
"Connecticut","Alaska","Truck","0.2674","1.18530021","0.4294"
"Connecticut","Arizona","Truck","23.0057","59.04292590","305.5122"
"Connecticut","Arkansas","Truck","14.6400","19.98637674","327.5980"
"Connecticut","California","Truck","108.1492","316.79084410","1361.1803"
"Connecticut","Colorado","Truck","16.2535","30.68294325","244.8811"
"Connecticut","Connecticut","Truck","48312.8310","1565.49924634","31692.5923"
"Connecticut","Delaware","Truck","68.4046","16.09385564","132.5011"
"Connecticut","Washington DC","Truck","9.8453","3.05943853","27.3812"
"Connecticut","Florida","Truck","177.2085","229.02090933","785.6814"
"Connecticut","Georgia","Truck","109.3761","107.79713683","589.0684"
"Connecticut","Idaho","Truck","4.7438","12.03213328","7.5774"
"Connecticut","Illinois","Truck","217.6362","204.34174725","1173.0949"
"Connecticut","Indiana","Truck","149.4662","122.83334526","658.0844"
"Connecticut","Iowa","Truck","96.4720","114.52371455","417.6064"
"Connecticut","Kansas","Truck","9.8113","13.46621074","77.8027"
"Connecticut","Kentucky","Truck","56.2408","47.67384005","256.1846"
"Connecticut","Louisiana","Truck","9.1427","13.38013119","44.8323"
"Connecticut","Maine","Truck","214.9238","60.95870745","758.3314"
"Connecticut","Maryland","Truck","381.6753","110.31893072","1699.7340"
"Connecticut","Massachusetts","Truck","4548.4929","487.99750893","9383.9017"
"Connecticut","Michigan","Truck","83.9833","68.53863189","642.1223"
"Connecticut","Minnesota","Truck","64.6158","85.69563586","806.2272"
"Connecticut","Mississippi","Truck","18.5827","23.52828132","121.6539"
"Connecticut","Missouri","Truck","104.3859","126.90955256","327.8030"
"Connecticut","Montana","Truck","1.5415","3.56814192","159.6370"
"Connecticut","Nebraska","Truck","3.2649","4.61881245","56.2422"
"Connecticut","Nevada","Truck","8.2706","22.76234327","63.0433"
"Connecticut","New Hampshire","Truck","408.2671","64.42517333","1067.3924"
"Connecticut","New Jersey","Truck","3130.6873","390.74039728","9154.0419"
